"date","home_team","away_team","is_shootout","home_win_pen","away_win_pen","first_shooter_home","first_shooter_away"
1988-12-18,"SOUTH KOREA","SAUDI ARABIA",1,0,1,1,0
1989-04-23,"GHANA","GABON",1,0,1,0,0
1989-04-23,"KENYA","SUDAN",1,1,0,0,0
1989-08-30,"INDONESIA","THAILAND",1,1,0,0,0
1989-11-08,"IRAN","UGANDA",1,0,1,0,0
1989-11-12,"IRAQ","UGANDA",1,1,0,0,0
1989-12-11,"CHAD","CAMEROON",1,0,1,0,0
1989-12-16,"MALAWI","UGANDA",1,0,1,0,0
1990-01-28,"NIGERIA","SENEGAL",1,1,0,0,0
1990-02-04,"UNITED STATES","COLOMBIA",1,0,1,0,1
1990-02-20,"COLOMBIA","RUSSIA",1,1,0,1,0
1990-05-18,"ZIMBABWE","ESWATINI",1,1,0,0,0
1990-06-25,"REPUBLIC OF IRELAND","ROMANIA",1,1,0,0,1
1990-06-30,"YUGOSLAVIA","ARGENTINA",1,0,1,0,1
1990-07-03,"ITALY","ARGENTINA",1,0,1,1,0
1990-07-04,"GERMANY","ENGLAND",1,1,0,0,1
1990-08-03,"CHINA PR","SOUTH KOREA",1,0,1,0,0
1990-10-01,"SAUDI ARABIA","NORTH KOREA",1,0,1,0,0
1990-10-06,"IRAN","NORTH KOREA",1,1,0,0,0
1990-12-17,"TANZANIA","UGANDA",1,0,1,0,0
1990-12-17,"CENTRAL AFRICAN REPUBLIC","EQUATORIAL GUINEA",1,1,0,0,0
1991-01-21,"CAMEROON","ALGERIA",1,1,0,0,0
1991-01-21,"SENEGAL","IVORY COAST",1,0,1,0,0
1991-01-22,"SENEGAL","ALGERIA",1,1,0,0,0
1991-01-23,"IVORY COAST","CAMEROON",1,1,0,0,0
1991-06-14,"SOUTH KOREA","AUSTRALIA",1,1,0,0,0
1991-06-16,"ITALY","RUSSIA",1,1,0,0,1
1991-07-07,"UNITED STATES","HONDURAS",1,1,0,1,0
1991-08-08,"CZECHOSLOVAKIA","YUGOSLAVIA",1,1,0,0,0
1991-09-20,"FIJI","SOLOMON ISLANDS",1,1,0,0,0
1991-09-28,"EGYPT","MALI",1,1,0,0,0
1991-12-02,"INDONESIA","SINGAPORE",1,1,0,0,0
1991-12-04,"INDONESIA","THAILAND",1,1,0,0,0
1992-01-23,"CAMEROON","IVORY COAST",1,0,1,0,1
1992-01-26,"GHANA","IVORY COAST",1,0,1,0,1
1992-06-22,"NETHERLANDS","DENMARK",1,0,1,1,0
1992-06-27,"CUBA","MARTINIQUE",1,0,1,0,0
1992-08-29,"JAPAN","SOUTH KOREA",1,1,0,0,0
1992-09-15,"SYRIA","EGYPT",1,0,1,0,0
1992-11-08,"CHINA PR","UNITED ARAB EMIRATES",1,1,0,0,0
1992-11-25,"UGANDA","ZAMBIA",1,1,0,0,0
1993-01-23,"JAPAN","SWITZERLAND",1,0,1,0,0
1993-02-20,"FINLAND","ESTONIA",1,1,0,0,0
1993-02-24,"ARGENTINA","DENMARK",1,1,0,1,0
1993-05-27,"BOLIVIA","PARAGUAY",1,1,0,0,0
1993-05-28,"MARTINIQUE","SAINT KITTS AND NEVIS",1,1,0,0,0
1993-05-30,"JAMAICA","MARTINIQUE",1,0,1,0,0
1993-06-17,"SINGAPORE","MYANMAR",1,1,0,0,0
1993-06-26,"COLOMBIA","URUGUAY",1,1,0,1,0
1993-06-27,"BRAZIL","ARGENTINA",1,0,1,1,0
1993-07-01,"COLOMBIA","ARGENTINA",1,0,1,1,0
1993-08-15,"AUSTRALIA","CANADA",1,1,0,1,0
1993-10-24,"BURUNDI","GUINEA",1,0,1,0,0
1993-12-26,"NEPAL","INDIA",1,1,0,0,0
1994-01-29,"BURKINA FASO","GUINEA",1,1,0,0,0
1994-04-06,"NIGERIA","IVORY COAST",1,1,0,1,0
1994-07-05,"MEXICO","BULGARIA",1,0,1,1,0
1994-07-10,"ROMANIA","SWEDEN",1,0,1,0,1
1994-07-17,"BRAZIL","ITALY",1,1,0,0,1
1994-12-08,"TANZANIA","UGANDA",1,1,0,0,0
1995-01-10,"DENMARK","MEXICO",1,1,0,1,0
1995-01-13,"MEXICO","NIGERIA",1,1,0,0,1
1995-02-26,"JAPAN","SOUTH KOREA",1,1,0,0,0
1995-03-31,"INDIA","BANGLADESH",1,1,0,0,0
1995-05-21,"ANTIGUA AND BARBUDA","SAINT KITTS AND NEVIS",1,1,0,0,0
1995-06-09,"PARAGUAY","BOLIVIA",1,1,0,0,0
1995-07-16,"PARAGUAY","COLOMBIA",1,0,1,0,1
1995-07-17,"UNITED STATES","MEXICO",1,1,0,1,0
1995-07-17,"BRAZIL","ARGENTINA",1,1,0,1,0
1995-07-23,"URUGUAY","BRAZIL",1,1,0,1,0
1995-08-24,"FIJI","SOLOMON ISLANDS",1,0,1,0,0
1995-11-28,"MAURITANIA","SIERRA LEONE",1,0,1,0,0
1995-12-02,"GABON","CAMEROON",1,0,1,0,0
1995-12-02,"ALGERIA","IVORY COAST",1,0,1,0,0
1995-12-06,"ETHIOPIA","ZANZIBAR",1,0,1,0,0
1995-12-07,"HONDURAS","COSTA RICA",1,1,0,0,0
1995-12-25,"BANGLADESH","SRI LANKA",1,1,0,0,0
1995-12-27,"SRI LANKA","NEPAL",1,1,0,0,0
1996-01-28,"GABON","TUNISIA",1,0,1,0,1
1996-02-22,"JAPAN","SWEDEN",1,0,1,0,0
1996-04-28,"BARBADOS","JAMAICA",1,0,1,0,0
1996-05-05,"GUYANA","SURINAME",1,0,1,0,0
1996-06-05,"MARTINIQUE","SURINAME",1,1,0,0,0
1996-06-22,"ENGLAND","SPAIN",1,1,0,1,0
1996-06-22,"FRANCE","NETHERLANDS",1,1,0,0,1
1996-06-26,"FRANCE","CZECH REPUBLIC",1,0,1,1,0
1996-06-26,"ENGLAND","GERMANY",1,0,1,1,0
1996-08-25,"ETHIOPIA","UGANDA",1,1,0,0,0
1996-11-29,"SUDAN","KENYA",1,1,0,0,0
1996-12-11,"MOROCCO","CROATIA",1,0,1,0,0
1996-12-12,"CROATIA","CZECH REPUBLIC",1,1,0,0,0
1996-12-19,"IRAN","SAUDI ARABIA",1,0,1,1,0
1996-12-21,"IRAN","KUWAIT",1,1,0,0,1
1996-12-21,"UNITED ARAB EMIRATES","SAUDI ARABIA",1,0,1,0,1
1996-12-27,"BENIN","BURKINA FASO",1,1,0,0,0
1997-02-07,"RUSSIA","SERBIA",1,1,0,0,0
1997-04-10,"INDIA","IRAQ",1,0,1,0,0
1997-06-22,"ECUADOR","MEXICO",1,0,1,1,0
1997-07-10,"TRINIDAD AND TOBAGO","JAMAICA",1,1,0,0,0
1997-10-18,"INDONESIA","THAILAND",1,0,1,0,0
1997-10-20,"HAITI","CUBA",1,1,0,0,0
1997-10-22,"CUBA","CAMEROON",1,1,0,0,0
1997-12-07,"GAMBIA","GUINEA",1,0,1,0,0
1998-01-31,"EGYPT","SOUTH KOREA",1,0,1,0,0
1998-01-31,"IRAN","CHILE",1,1,0,0,0
1998-02-21,"BURKINA FASO","TUNISIA",1,1,0,1,0
1998-02-21,"IVORY COAST","EGYPT",1,0,1,1,0
1998-02-27,"BURKINA FASO","DR CONGO",1,0,1,0,1
1998-04-22,"HUNGARY","NORTH MACEDONIA",1,1,0,0,0
1998-05-29,"BELGIUM","ENGLAND",1,1,0,1,0
1998-05-29,"MOROCCO","FRANCE",1,1,0,1,0
1998-06-30,"ARGENTINA","ENGLAND",1,1,0,1,0
1998-07-03,"FRANCE","ITALY",1,1,0,1,0
1998-07-07,"BRAZIL","NETHERLANDS",1,1,0,1,0
1998-08-15,"RÉUNION","MADAGASCAR",1,1,0,0,0
1998-09-05,"INDONESIA","THAILAND",1,1,0,0,0
1998-11-17,"GUATEMALA","HONDURAS",1,1,0,0,0
1998-11-18,"GUATEMALA","MEXICO",1,1,0,0,0
1998-12-02,"UNITED ARAB EMIRATES","NORTH KOREA",1,1,0,0,0
1998-12-14,"QATAR","KUWAIT",1,0,1,0,0
1999-05-22,"MALAWI","NAMIBIA",1,0,1,0,0
1999-06-16,"THAILAND","NEW ZEALAND",1,1,0,0,0
1999-06-19,"NEW ZEALAND","POLAND",1,0,1,0,0
1999-07-10,"MEXICO","PERU",1,1,0,1,0
1999-07-10,"PARAGUAY","URUGUAY",1,0,1,0,1
1999-07-13,"URUGUAY","CHILE",1,1,0,1,0
1999-07-18,"ESWATINI","ZIMBABWE",1,1,0,0,0
1999-07-31,"NAMIBIA","SOUTH AFRICA",1,1,0,0,0
1999-08-03,"RWANDA","KENYA",1,0,1,0,0
1999-08-07,"RWANDA","BURUNDI",1,1,0,0,0
1999-08-07,"ZAMBIA","MOZAMBIQUE",1,1,0,0,0
1999-08-14,"INDONESIA","SINGAPORE",1,1,0,0,0
