"country","fifa_version","num_players","overall_strength","max_overall","attack_strength","defense_strength","avg_pace","avg_shooting","avg_passing","avg_dribbling","avg_defending","avg_physic","balance","depth","quality_per_player"
"AUSTRALIA",24,14,72.8571428571429,78,71.75,72.8333333333333,71.0769230769231,60.1538461538462,62.9230769230769,67.6923076923077,60.7692307692308,75.6923076923077,-1.08333333333333,5.14285714285714,5.20408163265306
"AUSTRIA",15,14,75.5714285714286,82,74.3333333333333,76.25,70.2142857142857,62.8571428571429,63.5,66.3571428571429,58.5714285714286,73.8571428571429,-1.91666666666667,6.42857142857143,5.39795918367347
"AUSTRIA",16,14,77.2142857142857,85,76.6666666666667,77.3636363636364,70.9285714285714,59.7142857142857,68.8571428571429,68.0714285714286,69.8571428571429,76.2857142857143,-0.696969696969688,7.78571428571429,5.51530612244898
"AUSTRIA",17,14,77.8571428571429,87,77,78.5,71.0769230769231,61.6923076923077,68.3846153846154,69.6153846153846,62.3076923076923,73.7692307692308,-1.5,9.14285714285714,5.56122448979592
"AUSTRIA",18,14,78.2857142857143,86,78.3333333333333,78.1111111111111,70.9230769230769,62.6153846153846,69,70.1538461538462,63.3076923076923,77.4615384615385,0.222222222222214,7.71428571428571,5.59183673469388
"AUSTRIA",19,14,78.5714285714286,85,78.5555555555556,78.3333333333333,72,69.6428571428571,71.2857142857143,74.4285714285714,59.6428571428571,75.1428571428571,0.222222222222229,6.42857142857143,5.61224489795918
"AUSTRIA",20,14,78.7142857142857,85,78.4285714285714,78.75,72.6428571428571,67.5714285714286,72.1428571428571,74.5714285714286,62.2857142857143,74.7857142857143,-0.321428571428569,6.28571428571429,5.62244897959184
"AUSTRIA",21,14,78.7142857142857,84,78.5,78.3636363636364,73.5384615384615,65.3076923076923,72.6153846153846,73.3846153846154,68.5384615384615,73.3076923076923,0.13636363636364,5.28571428571429,5.62244897959184
"AUSTRIA",22,14,79.3571428571429,84,79.4,79.5454545454545,72.2142857142857,65.8571428571429,72.7142857142857,74,68.6428571428571,74.6428571428571,-0.145454545454541,4.64285714285714,5.66836734693878
"AUSTRIA",23,14,79.0714285714286,86,79,79.3,73.2142857142857,66.0714285714286,72.4285714285714,74.5,67,75.5714285714286,-0.299999999999997,6.92857142857143,5.64795918367347
"AUSTRIA",24,14,79.6428571428571,85,78.7142857142857,80.5,71.9285714285714,63.3571428571429,71,72.7142857142857,64.5714285714286,75.3571428571429,-1.78571428571429,5.35714285714286,5.68877551020408
"AZERBAIJAN",15,2,61,62,61,60,72.5,55.5,57,62.5,51.5,69,1,1,30.5
"AZERBAIJAN",16,5,63.8,69,67.5,63.3333333333333,74,57,59,67.5,49.75,70,4.16666666666666,5.2,12.76
"AZERBAIJAN",17,9,64.6666666666667,68,63.8,66.2,69,53.875,57.125,64.125,47.5,65.375,-2.40000000000001,3.33333333333333,7.18518518518519
"AZERBAIJAN",18,7,64.2857142857143,70,64.4,64.6666666666667,68.8571428571429,59.7142857142857,55.1428571428571,63,41,67.8571428571429,-0.266666666666666,5.71428571428571,9.18367346938776
"AZERBAIJAN",19,5,63.2,68,63.25,65,69.4,57.8,54.2,62.2,42.6,67.2,-1.75,4.8,12.64
"AZERBAIJAN",20,6,62.8333333333333,70,61.4,66,66.8333333333333,55.3333333333333,54.6666666666667,60.3333333333333,40.3333333333333,64.5,-4.6,7.16666666666666,10.4722222222222
"AZERBAIJAN",21,6,60.8333333333333,68,59.75,62.3333333333333,66.3333333333333,50.1666666666667,53.8333333333333,61.3333333333333,46.5,58.5,-2.58333333333334,7.16666666666666,10.1388888888889
"AZERBAIJAN",22,8,62.875,68,66.3333333333333,60.8,69.75,52.75,53,62,44.875,58.75,5.53333333333333,5.125,7.859375
"AZERBAIJAN",23,7,64.4285714285714,69,67,63.3333333333333,70.5714285714286,57.4285714285714,56.8571428571429,64.4285714285714,43.4285714285714,59.8571428571429,3.66666666666666,4.57142857142857,9.20408163265306
"AZERBAIJAN",24,6,65.8333333333333,71,65,70.5,71.4,57.4,50.8,63,35,63.8,-5.5,5.16666666666667,10.9722222222222
"BAHRAIN",15,1,68,68,68,68,62,34,36,38,71,77,0,0,68
"BAHRAIN",16,1,72,72,72,72,67,40,37,39,74,75,0,0,72
"BAHRAIN",19,1,54,54,54,54,63,40,50,58,48,56,0,0,54
"BAHRAIN",20,1,72,72,72,72,74,68,52,71,38,71,0,0,72
"BARBADOS",15,2,65.5,70,61,70,75,58,53.5,63.5,49,67.5,-9,4.5,32.75
"BARBADOS",16,2,65.5,66,66,65,70.5,59,55.5,65.5,48.5,71.5,1,0.5,32.75
"BARBADOS",17,1,67,67,67,67,90,63,54,69,28,66,0,0,67
"BARBADOS",18,1,65,65,65,65,90,61,54,65,28,70,0,0,65
"BARBADOS",19,1,64,64,64,64,80,61,54,64,29,72,0,0,64
"BARBADOS",20,1,64,64,64,64,78,60,54,64,29,71,0,0,64
"BARBADOS",21,1,61,61,61,61,73,60,51,60,22,59,0,0,61
"BARBADOS",22,1,62,62,62,62,73,60,56,62,30,59,0,0,62
"BARBADOS",23,1,54,54,54,54,58,49,52,48,48,56,0,0,54
"BELARUS",15,14,67.2857142857143,73,71,65.375,63.6363636363636,52.1818181818182,63.1818181818182,61,52.4545454545455,64.4545454545455,5.625,5.71428571428571,4.80612244897959
"BELARUS",16,14,67.7857142857143,73,68.6666666666667,67.2,63.3076923076923,53.3076923076923,62.0769230769231,60.1538461538462,56.2307692307692,65.9230769230769,1.46666666666667,5.21428571428571,4.84183673469388
"BELARUS",17,14,68.6428571428571,74,70,68.7777777777778,63.3333333333333,54.4166666666667,61.5833333333333,61.9166666666667,56.0833333333333,67.75,1.22222222222223,5.35714285714286,4.9030612244898
"BELARUS",18,9,70.7777777777778,76,71,70.5714285714286,62.5,59,65.25,64.125,61,65.125,0.428571428571431,5.22222222222223,7.8641975308642
"BELARUS",19,4,70,76,68.5,67,65.6666666666667,71.6666666666667,66.6666666666667,69.6666666666667,38,62.3333333333333,1.5,6,17.5
"BELARUS",21,3,62.6666666666667,66,65.5,62.6666666666667,69.3333333333333,58.3333333333333,54,64,26,55.6666666666667,2.83333333333334,3.33333333333334,20.8888888888889
"BELARUS",22,4,63.75,69,65,63.75,70.25,57.75,56,64.75,30.5,61,1.25,5.25,15.9375
"BELARUS",23,3,63,63,63,63,66,57,54.5,65,34,59,0,0,21
"BELARUS",24,4,64,66,64,64,68.3333333333333,58.6666666666667,56.3333333333333,64,34,64,0,2,16
"BELGIUM",15,14,81.7857142857143,88,80.6,82.1428571428571,78.8333333333333,73.8333333333333,74.5,78.8333333333333,56.9166666666667,75.6666666666667,-1.54285714285714,6.21428571428571,5.84183673469388
"BELGIUM",16,14,82.6428571428571,89,82.5,82.1428571428571,77.2307692307692,73,73.7692307692308,77,59.9230769230769,75.9230769230769,0.357142857142861,6.35714285714286,5.9030612244898
"BELGIUM",17,14,84.1428571428571,89,84.1666666666667,84.5,78.0769230769231,73.6923076923077,72.7692307692308,78.2307692307692,54.6923076923077,76,-0.333333333333329,4.85714285714286,6.01020408163265
"BELGIUM",18,14,85.2857142857143,90,85.7142857142857,84.4285714285714,76.6153846153846,74.4615384615385,75.4615384615385,78.9230769230769,59.4615384615385,76.7692307692308,1.28571428571428,4.71428571428571,6.09183673469388
"BELGIUM",19,14,85.7857142857143,91,88.2,84.625,75.5,73.9166666666667,77.3333333333333,79.9166666666667,65,76.6666666666667,3.575,5.21428571428571,6.12755102040816
"BELGIUM",20,14,85.5,91,86.5,85,75.25,74.1666666666667,77.6666666666667,79.5833333333333,62.9166666666667,74.4166666666667,1.5,5.5,6.10714285714286
"BELGIUM",21,14,84.5,91,85.8333333333333,84.1666666666667,75,76.2727272727273,79.5454545454545,81.1818181818182,60.5454545454545,72.9090909090909,1.66666666666666,6.5,6.03571428571429
"BELGIUM",22,14,84.3571428571429,91,85,83.7142857142857,76.4166666666667,73.1666666666667,78.5833333333333,79.9166666666667,58.5,71,1.28571428571429,6.64285714285714,6.02551020408163
"BELGIUM",23,14,83.5714285714286,91,84.1666666666667,82.8571428571429,70.5,76.9,79.8,79.9,57.4,70.3,1.30952380952381,7.42857142857143,5.96938775510204
"BELGIUM",24,14,82.6428571428571,91,83.8333333333333,82,69.4,75.6,78.2,78.3,57.5,71.4,1.83333333333333,8.35714285714286,5.9030612244898
"BELIZE",17,1,64,64,64,64,76,58,53,65,34,70,0,0,64
"BELIZE",18,1,64,64,64,64,76,61,54,63,39,75,0,0,64
"BELIZE",19,1,62,62,62,62,74,60,53,62,44,71,0,0,62
"BELIZE",20,1,66,66,66,66,72,62,54,61,44,69,0,0,66
"BELIZE",21,2,63,63,63,63,68,59.5,58.5,63,52.5,69,0,0,31.5
"BELIZE",22,1,63,63,63,63,63,58,59,64,61,70,0,0,63
